ric,name,country,industry,total_contribution,avg_weight,months_held,avg_monthly_return,total_return
ROSN.MM,OC ROSNEFT,RUSSIAN FEDERATION,ENEGY,-0.00010020013149281101,0.0025,1,-0.0400800525971244,-0.04008005259712444
1336.HK,NEW CHINA LIFE INSURANCE 'H',CHINA,FINAN,-0.00010589132424612614,0.0012229648200388612,27,-0.007493227739583369,-0.29480094968972137
MGLU3.SA,MAGAZINE LUIZA ON,BRAZIL,CODIS,-0.00011694556494813572,0.0016666666671533961,27,-0.0025987902570815853,-0.36533424241646506
042660.KS,HANWHA OCEAN,SOUTH KOREA,INDUS,-0.00012402872499214101,0.002,2,-0.031007181248035254,-0.06121328157855088
ITUB4.SA,ITAU UNIBANCO HOLDING PN,BRAZIL,FINAN,-0.00013171047736835304,0.0008695652173913044,1,-0.151467048973606,-0.15146704897360597
000001.SZ,PING AN BANK 'A',CHINA,FINAN,-0.00014400586001346618,0.0009090909090909091,2,-0.0792032230074064,-0.15213500065406405
ALDAR.AD,ALDAR PROPERTIES,UNITED ARAB EMIRATES,RLEST,-0.0001460860508199076,0.004,1,-0.0365215127049769,-0.036521512704976944
LEGN.O,LEGEND BIOTECH 2 ADR 1:2,UNITED STATES,HLTHC,-0.00014619599088090625,0.0022222222222222222,2,-0.0328940979482039,-0.10410585517448978
003550.KS,LG,SOUTH KOREA,INDUS,-0.0001523464835099292,0.002,7,-0.010881891679280659,-0.0758639717122278
0966.HK,CHINA TAIPING INSURANCE HLDGS,HONG KONG,FINAN,-0.0001550454319672805,0.001,5,-0.0310090863934561,-0.1717235479619964
SBIC.NS,SBI CARDS & PAYMENT SERVICES,INDIA,FINAN,-0.00015692632039798814,0.001,12,-0.014266029127089826,-0.18178250151185404
BANH.NS,BANDHAN BANK,INDIA,FINAN,-0.0001618974306358328,0.0008893280632411068,24,-0.007697593592001045,-0.45911345840972495
ADNOCDIST.AD,ADB.NAT.OIL CO.FOR DS. PJSC,UNITED ARAB EMIRATES,ENEGY,-0.0001653577194666156,0.009520162050140796,38,-0.0002691407848446289,-0.03781925015723986
352820.KS,HYBE,SOUTH KOREA,CODIS,-0.0001809201346608502,0.0015865384615384617,16,-0.007883000300837375,-0.2930385480546325
5871.TW,CHAILEASE HOLDING,TAIWAN,FINAN,-0.00020278400953279,0.0009306104523495828,9,-0.022439896973568834,-0.1996122522259739
1150.SE,ALINMA BANK,SAUDI ARABIA,FINAN,-0.00020392166640960022,0.001,2,-0.1019608332048001,-0.19448903823364716
NIO,NIO ADR 1:1,CHINA,CODIS,-0.00020621956894189674,0.0016205128210384887,25,-0.007226469928400958,-0.5442978322337414
GODR.NS,GODREJ PROPERTIES,INDIA,RLEST,-0.00022505987725121113,0.004,14,-0.004018926379485914,-0.12299766473251228
WALMEX.MX,WALMART DE MEXICO 'V',MEXICO,CODIS,-0.0002301317735545221,0.0016574397824397824,24,-0.005808608515235825,-0.17809999151681244
1816.HK,CGN POWER 'H',CHINA,UTILS,-0.00027598349614813694,0.005,12,-0.004599724935802284,-0.13218301338948035
1268.HK,CHINA MEIDONG AUTO HDG.,CHINA,CODIS,-0.0002822186946016973,0.0015384615384615387,1,-0.1834421514911032,-0.1834421514911032
